"","source","site","slope","n_values","mean","min","max","coefficient.of.variation","significant_slope","pvalue"
"1","BBAP","",0,2424,NA,NA,NA,NA,NA,0.737314308262957
"2","BBAP","BB14",-0.001,59,0.00983050847457627,0.002,0.071,1.04084680379272,-0.001,0.0233565936458529
"3","BBAP","BH22",0,43,0.00783720930232558,0.002,0.019,0.580014514839961,NA,1
"4","BBAP","CWA2",-0.000999999999999999,39,0.0182051282051282,0.005,0.044,0.550188303792516,NA,0.813451651681702
"5","BBAP","CWA4",NA,3,0.016,0.008,0.02,0.433012701892219,NA,NA
"6","BBAP","CWA5",0.00366666666666667,15,0.0108,0.003,0.027,0.603325424381628,NA,0.734095182319476
"7","BBAP","DM00",NA,4,0.115,0.004,0.4,1.65511561150894,NA,NA
"8","BBAP","DM08",-0.001,74,0.0399459459459459,0.004,0.22,1.15574488772691,NA,0.356220474435971
"9","BBAP","DM28",NA,2,0.036,0.007,0.065,1.13922759191166,NA,NA
"10","BBAP","FK01",NA,1,0.068,0.068,0.068,NA,NA,NA
"11","BBAP","JFK03",-0.001,54,0.0136111111111111,0.003,0.071,0.991507240011647,NA,0.0926958025578126
"12","BBAP","JT29",NA,1,0.007,0.007,0.007,NA,NA,NA
"13","BBAP","JT61",0,35,0.0292571428571429,0.004,0.4,2.23557632395055,NA,1
"14","BBAP","JT66",-0.001,55,0.00796363636363636,0.002,0.027,0.75147020866725,-0.001,0.0194893528823845
"15","BBAP","JT71",-0.001,57,0.00875438596491228,0.002,0.044,0.825770030153987,-0.001,0.024672473429154
"16","BBAP","LR03",-0.01,71,0.173915492957746,0.006,0.51,0.681274588374804,NA,0.125108904358862
"17","BBAP","LR05",NA,2,0.325,0.25,0.4,0.326356975932253,NA,NA
"18","BBAP","LR06",NA,2,0.29,0.24,0.34,0.243829924547085,NA,NA
"19","BBAP","LRNSP",NA,1,1.5,1.5,1.5,NA,NA,NA
"20","BBAP","LRSC",NA,1,0.11,0.11,0.11,NA,NA,NA
"21","BBAP","LRSP",NA,2,1.5,1.4,1.6,0.0942809041582064,NA,NA
"22","BBAP","LRUP",NA,2,0.186,0.062,0.31,0.942809041582063,NA,NA
"23","BBAP","MRDC",NA,1,0.17,0.17,0.17,NA,NA,NA
"24","BBAP","MRDW",NA,1,0.081,0.081,0.081,NA,NA,NA
"25","BBAP","MRMO",NA,1,0.018,0.018,0.018,NA,NA,NA
"26","BBAP","MRRB",0.012,8,0.015625,0.003,0.027,0.546213982140438,NA,0.479500122186953
"27","BBAP","MRSC",0.02,39,0.207923076923077,0.005,0.77,0.905543039397384,NA,0.107762290391921
"28","BBAP","RB1A",0.0015,22,0.0144545454545455,0.004,0.029,0.630363746494221,NA,0.666227645409619
"29","BBAP","TOW1",NA,1,0.028,0.028,0.028,NA,NA,NA
"30","BBAP","TOW3",NA,1,0.093,0.093,0.093,NA,NA,NA
"31","BBAP","VR01",-0.001,53,0.00856603773584906,0.002,0.032,0.671210384056461,NA,0.0742576012600124
